lab_method_name,lab_type,lab_csv_header,r-Modus_Soil_Test_v1,r-Modus_Soil_Test_v2,r-Analyte,f-Analyte,r-Extraction_Method,f-Extraction_Method,r-Measurement_Method,f-Measurement_Method,r-Unit_of_Measurement,f-Unit_of_Measurement_Default,r-Unit_of_Measurement_Alt,f-Unit_of_Measurement_Alt,r-UCUM_Unit_String-Unit_of_Measurement_Default,f-UCUM_Unit_String_Default,r-UCUM_Unit_String-Unit_of_Measurement_Alt,f-UCUM_Unit_String_Alt,lu-Modus_Soil_Test_v1 r-Modus_Soil_Test_v2,notes,internal_status,r-Lab,lu-lab_name r-Lab,lu-modus_id r-Modus_Soil_Test_v1,lu-modus_id r-Modus_Soil_Test_v2,lu-unit_of_measurement_name-r-Unit_of_Measurement_Alt,lu-Modus_Soil_Test_v2-r-Modus_Soil_Test_v1,example_test_result,modus_status
(Alfalfa) P,Soil,,,,,,,,,,,,,,,,,,,,Need more info from lab,"""A.V. Labs, Inc. - Othello, WA""","A.V. Labs, Inc. - Othello, WA",,,,,,
B,Soil,,,,,,,,,,,,,,,,,,,,Need more info from lab,"""A.V. Labs, Inc. - Othello, WA""","A.V. Labs, Inc. - Othello, WA",,,,,,
Bulk Density,Soil,,,,,,,,,,,,,,,,,,,Disturbed Soil,Need more info from lab,"""A.V. Labs, Inc. - Othello, WA""","A.V. Labs, Inc. - Othello, WA",,,,,,
Ca,Soil,,,,,,,,,,,,,,,,,,,,Need more info from lab,"""A.V. Labs, Inc. - Othello, WA""","A.V. Labs, Inc. - Othello, WA",,,,,,
CaCO3 Equivalency (Calcium Carbonate),Soil,,,,,,,,,,,,,,,,,,,,Need more info from lab,"""A.V. Labs, Inc. - Othello, WA""","A.V. Labs, Inc. - Othello, WA",,,,,,
CEC,Soil,,,,,,,,,,,,,,,,,,,,Need more info from lab,"""A.V. Labs, Inc. - Othello, WA""","A.V. Labs, Inc. - Othello, WA",,,,,,
CEC – Cation Exchange Capacity,Soil,,,,,,,,,,,,,,,,,,,,Need more info from lab,"""A.V. Labs, Inc. - Othello, WA""","A.V. Labs, Inc. - Othello, WA",,,,,,
Chloride Analysis,Soil,,,,,,,,,,,,,,,,,,,,Need more info from lab,"""A.V. Labs, Inc. - Othello, WA""","A.V. Labs, Inc. - Othello, WA",,,,,,
Coarse Fragments,Soil,,,,,,,,,,,,,,,,,,,>2mm,Need more info from lab,"""A.V. Labs, Inc. - Othello, WA""","A.V. Labs, Inc. - Othello, WA",,,,,,
Cu,Soil,,,,,,,,,,,,,,,,,,,,Need more info from lab,"""A.V. Labs, Inc. - Othello, WA""","A.V. Labs, Inc. - Othello, WA",,,,,,
Eff,Soil,,,,,,,,,,,,,,,,,,,,Need more info from lab,"""A.V. Labs, Inc. - Othello, WA""","A.V. Labs, Inc. - Othello, WA",,,,,,
Electrical Conductivity of Saturation Extract,Soil,,,,,,,,,,,,,,,,,,,,Need more info from lab,"""A.V. Labs, Inc. - Othello, WA""","A.V. Labs, Inc. - Othello, WA",,,,,,
Fe,Soil,,,,,,,,,,,,,,,,,,,,Need more info from lab,"""A.V. Labs, Inc. - Othello, WA""","A.V. Labs, Inc. - Othello, WA",,,,,,
H2O,Soil,,,,,,,,,,,,,,,,,,,,Need more info from lab,"""A.V. Labs, Inc. - Othello, WA""","A.V. Labs, Inc. - Othello, WA",,,,,,
Hydrometer Method,Soil,,,,,,,,,,,,,,,,,,,,Need more info from lab,"""A.V. Labs, Inc. - Othello, WA""","A.V. Labs, Inc. - Othello, WA",,,,,,
K,Soil,,,,,,,,,,,,,,,,,,,,Need more info from lab,"""A.V. Labs, Inc. - Othello, WA""","A.V. Labs, Inc. - Othello, WA",,,,,,
Mg,Soil,,,,,,,,,,,,,,,,,,,,Need more info from lab,"""A.V. Labs, Inc. - Othello, WA""","A.V. Labs, Inc. - Othello, WA",,,,,,
Mn,Soil,,,,,,,,,,,,,,,,,,,,Need more info from lab,"""A.V. Labs, Inc. - Othello, WA""","A.V. Labs, Inc. - Othello, WA",,,,,,
Na,Soil,,,,,,,,,,,,,,,,,,,,Need more info from lab,"""A.V. Labs, Inc. - Othello, WA""","A.V. Labs, Inc. - Othello, WA",,,,,,
Na – Gypsum Requirement,Soil,,,,,,,,,,,,,,,,,,,,Need more info from lab,"""A.V. Labs, Inc. - Othello, WA""","A.V. Labs, Inc. - Othello, WA",,,,,,
Nematode Analysis (with identification),Soil,,,,,,,,,,,,,,,,,,,,Need more info from lab,"""A.V. Labs, Inc. - Othello, WA""","A.V. Labs, Inc. - Othello, WA",,,,,,
Nematode Analysis (without identification),Soil,,,,,,,,,,,,,,,,,,,,Need more info from lab,"""A.V. Labs, Inc. - Othello, WA""","A.V. Labs, Inc. - Othello, WA",,,,,,
NH4,Soil,,,,,,,,,,,,,,,,,,,,Need more info from lab,"""A.V. Labs, Inc. - Othello, WA""","A.V. Labs, Inc. - Othello, WA",,,,,,
NO3,Soil,,,,,,,,,,,,,,,,,,,,Need more info from lab,"""A.V. Labs, Inc. - Othello, WA""","A.V. Labs, Inc. - Othello, WA",,,,,,
OM,Soil,,,,,,,,,,,,,,,,,,,,Need more info from lab,"""A.V. Labs, Inc. - Othello, WA""","A.V. Labs, Inc. - Othello, WA",,,,,,
P,Soil,,,,,,,,,,,,,,,,,,,,Need more info from lab,"""A.V. Labs, Inc. - Othello, WA""","A.V. Labs, Inc. - Othello, WA",,,,,,
pH,Soil,,,,,,,,,,,,,,,,,,,,Need more info from lab,"""A.V. Labs, Inc. - Othello, WA""","A.V. Labs, Inc. - Othello, WA",,,,,,
S,Soil,,,,,,,,,,,,,,,,,,,,Need more info from lab,"""A.V. Labs, Inc. - Othello, WA""","A.V. Labs, Inc. - Othello, WA",,,,,,
SMP Buffer pH – Lime Requirement,Soil,,,,,,,,,,,,,,,,,,,,Need more info from lab,"""A.V. Labs, Inc. - Othello, WA""","A.V. Labs, Inc. - Othello, WA",,,,,,
SO4,Soil,,,,,,,,,,,,,,,,,,,,Need more info from lab,"""A.V. Labs, Inc. - Othello, WA""","A.V. Labs, Inc. - Othello, WA",,,,,,
Sodiuim Adsorption Ratio of Saturation Extract (SAR),Soil,,,,,,,,,,,,,,,,,,,,Need more info from lab,"""A.V. Labs, Inc. - Othello, WA""","A.V. Labs, Inc. - Othello, WA",,,,,,
Soil Saturtion Paste,Soil,,,,,,,,,,,,,,,,,,,,Need more info from lab,"""A.V. Labs, Inc. - Othello, WA""","A.V. Labs, Inc. - Othello, WA",,,,,,
Soil Texture Analysis,Soil,,,,,,,,,,,,,,,,,,,,Need more info from lab,"""A.V. Labs, Inc. - Othello, WA""","A.V. Labs, Inc. - Othello, WA",,,,,,
Soluble Salts,Soil,,,,,,,,,,,,,,,,,,,,Need more info from lab,"""A.V. Labs, Inc. - Othello, WA""","A.V. Labs, Inc. - Othello, WA",,,,,,
SS,Soil,,,,,,,,,,,,,,,,,,,,Need more info from lab,"""A.V. Labs, Inc. - Othello, WA""","A.V. Labs, Inc. - Othello, WA",,,,,,
Total Cu,Soil,,,,,,,,,,,,,,,,,,,,Need more info from lab,"""A.V. Labs, Inc. - Othello, WA""","A.V. Labs, Inc. - Othello, WA",,,,,,
Total Nitrogen,Soil,,,,,,,,,,,,,,,,,,,,Need more info from lab,"""A.V. Labs, Inc. - Othello, WA""","A.V. Labs, Inc. - Othello, WA",,,,,,
Zn,Soil,,,,,,,,,,,,,,,,,,,,Need more info from lab,"""A.V. Labs, Inc. - Othello, WA""","A.V. Labs, Inc. - Othello, WA",,,,,,
%Clay,Soil,,S-CLAY-SED.10,L_MODV2_SOIL_CLAY_003,Clay,Clay,Sodium Hexametaphosphate Solution / Electrical Mixer,Sodium Hexametaphosphate Solution / Electrical Mixer,Hydrometer,Hydrometer,%,%,,"%, g/kg",%,%,,"%, g/kg",S-CLAY-SED.10,,,"""A&L Great Lakes Laboratory - Fort Wayne, IN""","A&L Great Lakes Laboratory - Fort Wayne, IN",S-CLAY-SED.10,L_MODV2_SOIL_CLAY_003,,L_MODV2_SOIL_CLAY_003,,OpenTEAM - Suggested
%Sand,Soil,,S-SAND-SED.10,L_MODV2_SOIL_SAND_003,Sand,Sand,Sodium Hexametaphosphate Solution / Electrical Mixer,Sodium Hexametaphosphate Solution / Electrical Mixer,Hydrometer,Hydrometer,%,%,,"%, g/kg",%,%,,"%, g/kg",S-SAND-SED.10,,,"""A&L Great Lakes Laboratory - Fort Wayne, IN""","A&L Great Lakes Laboratory - Fort Wayne, IN",S-SAND-SED.10,L_MODV2_SOIL_SAND_003,,L_MODV2_SOIL_SAND_003,,OpenTEAM - Suggested
%Silt,Soil,,S-SILT-SED.10,L_MODV2_SOIL_SILT_003,Silt,Silt,Sodium Hexametaphosphate Solution / Electrical Mixer,Sodium Hexametaphosphate Solution / Electrical Mixer,Hydrometer,Hydrometer,%,%,,"%, g/kg",%,%,,"%, g/kg",S-SILT-SED.10,,,"""A&L Great Lakes Laboratory - Fort Wayne, IN""","A&L Great Lakes Laboratory - Fort Wayne, IN",S-SILT-SED.10,L_MODV2_SOIL_SILT_003,,L_MODV2_SOIL_SILT_003,,OpenTEAM - Suggested
Available Phosphorus,Soil,HCO3_P,S-P-BIC.01.03,L_MODV2_SOIL_P_045,Phosphorus,Phosphorus,Sodium Bicarbonate,Sodium Bicarbonate,Spectrophotometric,Spectrophotometric,mg/kg,mg/kg,,ppm,mg/kg,mg/kg,,[ppm],S-P-BIC.01.03,Several possible methods offered in https://extension.missouri.edu/media/wysiwyg/Extensiondata/Pub/pdf/specialb/sb1001.pdf,Need more info from lab,"""A&L Great Lakes Laboratory - Fort Wayne, IN""","A&L Great Lakes Laboratory - Fort Wayne, IN",S-P-BIC.01.03,L_MODV2_SOIL_P_045,,L_MODV2_SOIL_P_045,,OpenTEAM - Suggested
Base Saturation - Calcium,Soil,CA_PCT,S-BS-CA.19,,,Base Saturation - Ca,,EPA 3050 Digestion Acid Recoverable,,Calculated,,%,,%,%,%,,%,,,,"""A&L Great Lakes Laboratory - Fort Wayne, IN""","A&L Great Lakes Laboratory - Fort Wayne, IN",S-BS-CA.19,,,L_MODV2_SOIL_CABS_001,,
Base Saturation - Magnesium,Soil,MG_PCT,S-BS-MG.19,L_MODV2_SOIL_MGBS_001,Base Saturation - Mg,Base Saturation - Mg,Calculation,Calculation,ICP-OES / AAS,ICP-OES / AAS,%,%,,%,%,%,,%,S-BS-MG.19,,,"""A&L Great Lakes Laboratory - Fort Wayne, IN""","A&L Great Lakes Laboratory - Fort Wayne, IN",S-BS-MG.19,L_MODV2_SOIL_MGBS_001,,L_MODV2_SOIL_MGBS_001,,OpenTEAM - Suggested
Base Saturation - Potassium,Soil,K_PCT,S-BS-K.19,L_MODV2_SOIL_KBS_001,Base Saturation - K,Base Saturation - K,Calculation,Calculation,ICP-OES / AAS,ICP-OES / AAS,%,%,,%,%,%,,%,S-BS-K.19,,,"""A&L Great Lakes Laboratory - Fort Wayne, IN""","A&L Great Lakes Laboratory - Fort Wayne, IN",S-BS-K.19,L_MODV2_SOIL_KBS_001,,L_MODV2_SOIL_KBS_001,,OpenTEAM - Suggested
